	Title	Authors	Number of URL Namespaces	Number of Regex Namespaces	Number of URL Annotations	Number of Regex Annotations	Number of Local Annotations	Number of Nodes	Number of Edges	Number of Citations	Number of Authors	Network Density	Number of Components	Number of Warnings
32187464.bel	32187464.bel	Priya S	3	0	0	0	4	8	11	1	63	1.96E-01	1	0
32188729.bel	32188729.bel	Geena Mariya Jose	3	1	2	1	4	30	50	1	6	5.75E-02	1	0
32188753.bel	32188753.bel	Priya S	6	1	2	0	5	13	22	1	2	1.41E-01	1	0
32189136.bel	32189136.bel	Shounak Baksi	4	0	1	0	5	15	28	1	4	1.33E-01	1	0
32190290.bel	32190290.bel	Thrishna	6	2	1	0	5	18	21	1	5	6.86E-02	4	0
32192578.bel	https://doi.org/10.1016/S0140-6736(20)30628-0	Yojana Gadiya	6	1	0	0	1	19	26	1	0	7.60E-02	2	0
32193831.bel	32193831.bel	Shounak Baksi	7	1	2	0	6	34	58	1	7	5.17E-02	1	0
32194980.bel	32194980.bel	Shounak Baksi	8	2	1	0	3	57	77	1	6	2.41E-02	4	0
32196678.bel	32196678.bel	Thrishna	4	1	2	0	5	36	95	1	8	7.54E-02	1	0
32198291.bel	32198291.bel	Shounak Baksi	4	1	0	0	3	9	10	1	9	1.39E-01	1	0
32198713.bel	32198713.bel	Thrishna	7	2	1	0	4	21	21	1	6	5.00E-02	3	0
32201080.bel	32201080.bel	Shounak Baksi	5	2	1	0	4	18	26	1	4	8.50E-02	1	0
32203186.bel	32203186.bel	Thrishna	5	1	2	0	7	24	37	1	8	6.70E-02	2	0
32203189.bel	32203189.bel	Priya S	4	1	1	1	9	16	25	1	8	1.04E-01	2	0
32205856.bel	32205856.bel	Abish K	7	1	2	0	6	30	47	1	10	5.40E-02	1	0
32213337.bel	32213337.bel	Abish K	6	0	2	0	9	16	25	1	25	1.04E-01	1	0
32213556.bel	32213556.bel	Abish K	4	1	1	0	5	27	35	1	25	4.99E-02	1	0
32215589.bel	32215589.bel	Abish K	3	0	2	0	4	4	3	1	7	2.50E-01	1	0
32215598.bel	32215598.bel	Geena Mariya Jose	7	0	2	0	9	19	58	1	7	1.70E-01	1	0
32215613.bel	32215613.bel	Thrishna	8	1	2	0	4	36	79	1	5	6.27E-02	2	0
32216698.bel	32216698.bel	Shounak Baksi	8	0	2	0	6	46	98	1	4	4.73E-02	1	0
32216803.bel	32216803.bel	Shounak Baksi	3	0	2	0	6	16	32	1	6	1.33E-01	1	0
32216961.bel	32216961.bel	Shounak Baksi	3	1	1	0	5	7	12	1	5	2.86E-01	1	0
32217556.bel	32217556.bel	Geena Mariya Jose	6	1	2	0	6	82	154	1	21	2.32E-02	1	0
32217650.bel	32217650.bel	Shounak Baksi	3	0	1	0	5	17	32	1	48	1.18E-01	1	0
32217835.bel	32217835.bel	Shounak Baksi	6	0	2	0	5	42	85	1	19	4.94E-02	1	0
32218301.bel	2218301.bel	Geena Mariya Jose	2	2	1	0	4	15	23	1	5	1.10E-01	1	0
32219356.bel	32219356.bel	Geena Mariya Jose	5	0	2	0	5	43	79	1	10	4.37E-02	2	0
32220278.bel	32220278.bel	Thrishna	7	0	0	1	5	13	12	1	2	7.69E-02	3	0
32220422.bel	32220422.bel	Priya S	7	3	1	0	5	12	23	1	3	1.74E-01	1	0
32220633.bel	32220633.bel	Priya S	6	0	3	0	4	18	31	1	7	1.01E-01	2	0
32220710.bel	32220710.bel	Abish K	6	0	2	0	4	16	26	1	4	1.08E-01	1	0
32221133.bel	32221133.bel	Thrishna	3	0	2	1	6	5	5	1	14	2.50E-01	1	0
32221306.bel	32221306.bel	Priya S	7	1	0	0	7	14	27	1	18	1.48E-01	1	0
32221983.bel	32221983.bel	Thrishna	9	2	3	0	6	51	89	1	3	3.49E-02	1	0
32222466.bel	32222466.bel	Geena Mariya Jose	9	2	1	0	4	76	149	1	12	2.61E-02	1	0
32224164.bel	32224164.bel	Priya S	8	1	2	0	8	31	48	1	1	5.16E-02	3	0
32227090.bel	32227090.bel	Abish K	5	0	2	1	4	18	24	1	5	7.84E-02	2	0
32227760.bel	32227760.bel	Thrishna	9	0	3	0	4	27	33	1	0	4.70E-02	1	0
32227916.bel	32227916.bel	Geena Mariya Jose	6	0	1	0	3	9	11	1	1	1.53E-01	1	0
32228222.bel	32228222.bel	Abish K	5	1	2	0	4	10	15	1	13	1.67E-01	1	0
32228226.bel	32228226.bel	Shounak Baksi	5	0	3	1	5	594	1271	1	18	3.61E-03	1	0
32231345.bel	32231345.bel	Shounak Baksi	6	1	2	0	4	15	19	1	16	9.05E-02	1	0
32232214.bel	32232214.bel	Abish K	6	1	1	0	7	119	195	1	1	1.39E-02	1	0
32246845.bel	Lukassen_et.al_2020.bel	Geena Mariya Jose	8	0	3	1	3	32	73	1	14	7.36E-02	1	0
32251768.bel	32251768.bel	Shounak Baksi	4	0	1	0	4	4	4	1	5	3.33E-01	1	0
32334118.bel	32334118.bel	Priya S	5	0	1	0	6	19	45	1	7	1.32E-01	1	0
32339248.bel	32339248.bel	Thrishna	4	1	1	0	5	16	25	1	29	1.04E-01	2	0
32344321.bel	32344321.bel	Geena Mariya Jose	4	0	2	0	7	13	34	1	9	2.18E-01	1	0
32345579.bel	32345579.bel	Geena Mariya Jose	7	0	2	0	8	51	148	1	8	5.80E-02	1	0
32358956.bel	32358956.bel	Priya S	5	1	1	0	6	13	28	1	3	1.79E-01	1	0
32359177.bel	32359177.bel	Geena Mariya Jose	7	0	2	0	6	25	158	1	37	2.63E-01	1	0
32359205.bel	32359205.bel	Thrishna	6	1	1	0	5	13	19	1	6	1.22E-01	1	0
32361738.bel	32361738.bel	Priya S	6	1	1	0	4	38	68	1	20	4.84E-02	1	0
332194980.bel	332194980.bel	Shounak Baksi	8	2	1	0	3	57	77	1	6	2.41E-02	4	0
Arya_et.al_2020.bel	Arya_et.al_2020.bel	Thrishna	2	1	0	1	3	34	49	1	0	4.37E-02	1	0
Balasubramaniam_et.al_2020.bel	Balasubramaniam_et.al_2020.bel	Abish K	7	1	0	1	3	36	63	1	0	5.00E-02	1	0
Bao_et.al_2020.bel	Bao_et.al_2020.bel	Geena Mariya Jose	5	1	2	1	9	14	33	1	0	1.81E-01	1	0
Brielle_et.al_2020.bel	Brielle_et.al_2020.bel	Abish K	5	1	2	1	4	11	17	1	0	1.55E-01	1	0
COVID19_drugs_targets.bel	DrugBank	Reagon Karki	2	1	0	0	1	28	57	41	205	7.54E-02	3	0
Diao_et.al_2020.bel	Diao_et.al_2020.bel	Abish K	3	0	2	0	7	10	55	1	0	6.11E-01	1	0
Gordon_et.al_2020.bel	Gordon_et.al_2020.bel	Abish K	16	5	3	0	5	333	750	1	0	6.78E-03	5	0
Guan_et.al_2020.bel	Guan_et.al_2020.bel	Shounak Baksi	5	0	2	0	4	17	28	1	0	1.03E-01	1	0
GuoAX_et.al_2020.bel	GuoAX_et.al_2020.bel	Shounak Baksi	7	1	2	0	4	44	116	1	0	6.13E-02	1	0
Guo_et.al_2020.bel	GUO_et.al_2020.bel	Geena Mariya Jose	4	0	2	1	5	6	16	1	0	5.33E-01	1	0
Huang_et.al_2020.bel	Huang_et.al_2020.bel	Thrishna	3	1	0	1	3	86	98	1	0	1.34E-02	1	0
Jazzi_et.al_2020.bel	Jazzi_et.al_2020.bel	Geena Mariya Jose	4	1	0	0	4	11	14	1	0	1.27E-01	1	0
Ju_et.al_2020.bel	Ju_et.al_2020.bel	Geena Mariya Jose	4	3	2	1	4	24	29	1	0	5.25E-02	1	0
Li_J_et.al_2020.bel	Li_J_et.al_2020.bel	Abish K	6	0	3	0	5	68	126	1	0	2.77E-02	1	0
Li_et.al_2020.bel	Li_et.al_2020.bel	Abish K	8	1	1	0	4	37	57	1	0	4.28E-02	1	0
Liao_et.al_2020.bel	Liao_et.al_2020.bel	Priya S	4	0	2	0	7	58	112	1	0	3.39E-02	1	0
Liu_X_et.al_2020.bel	Liu_X_et.al_2020.bel	Geena Mariya Jose	8	0	3	1	7	29	45	1	0	5.54E-02	1	0
Liu_et.al_2020.bel	Liu_et.al_2020.bel	Abish K	3	1	1	1	4	26	51	1	0	7.85E-02	1	0
